county_fips,county_name,state,dma_code,dma_name
29133,Mississippi,MO,632,PADUCAH-CAPE GIRARDEAU-HARRISBURG
29135,Moniteau,MO,604,COLUMBIA-JEFFERSON CITY
29137,Monroe,MO,717,QUINCY-HANNIBAL-KEOKUK
29139,Montgomery,MO,604,COLUMBIA-JEFFERSON CITY
29141,Morgan,MO,604,COLUMBIA-JEFFERSON CITY
29143,New Madrid,MO,632,PADUCAH-CAPE GIRARDEAU-HARRISBURG
29145,Newton,MO,603,JOPLIN-PITTSBURG
29147,Nodaway,MO,616,KANSAS CITY
29149,Oregon,MO,619,"SPRINGFIELD, MO"
29151,Osage,MO,604,COLUMBIA-JEFFERSON CITY
29153,Ozark,MO,619,"SPRINGFIELD, MO"
29155,Pemiscot,MO,640,MEMPHIS
29157,Perry,MO,632,PADUCAH-CAPE GIRARDEAU-HARRISBURG
29159,Pettis,MO,616,KANSAS CITY
29161,Phelps,MO,609,SAINT LOUIS
29163,Pike,MO,609,SAINT LOUIS
29165,Platte,MO,616,KANSAS CITY
29167,Polk,MO,619,"SPRINGFIELD, MO"
29169,Pulaski,MO,619,"SPRINGFIELD, MO"
29171,Putnam,MO,631,OTTUMWA-KIRKSVILLE
29173,Ralls,MO,717,QUINCY-HANNIBAL-KEOKUK
29175,Randolph,MO,604,COLUMBIA-JEFFERSON CITY
29177,Ray,MO,616,KANSAS CITY
29179,Reynolds,MO,609,SAINT LOUIS
29181,Ripley,MO,632,PADUCAH-CAPE GIRARDEAU-HARRISBURG
29183,Saint Charles,MO,609,SAINT LOUIS
29185,Saint Clair,MO,619,"SPRINGFIELD, MO"
29186,Sainte Genevieve,MO,609,SAINT LOUIS
29187,Saint Francois,MO,609,SAINT LOUIS
29189,Saint Louis,MO,609,SAINT LOUIS
29195,Saline,MO,616,KANSAS CITY
29197,Schuyler,MO,631,OTTUMWA-KIRKSVILLE
29199,Scotland,MO,631,OTTUMWA-KIRKSVILLE
29201,Scott,MO,632,PADUCAH-CAPE GIRARDEAU-HARRISBURG
29203,Shannon,MO,619,"SPRINGFIELD, MO"
29205,Shelby,MO,717,QUINCY-HANNIBAL-KEOKUK
29207,Stoddard,MO,632,PADUCAH-CAPE GIRARDEAU-HARRISBURG
29209,Stone,MO,619,"SPRINGFIELD, MO"
29211,Sullivan,MO,631,OTTUMWA-KIRKSVILLE
29213,Taney,MO,619,"SPRINGFIELD, MO"
29215,Texas,MO,619,"SPRINGFIELD, MO"
29217,Vernon,MO,603,JOPLIN-PITTSBURG
29219,Warren,MO,609,SAINT LOUIS
29221,Washington,MO,609,SAINT LOUIS
29223,Wayne,MO,632,PADUCAH-CAPE GIRARDEAU-HARRISBURG
29225,Webster,MO,619,"SPRINGFIELD, MO"
29227,Worth,MO,616,KANSAS CITY
29229,Wright,MO,619,"SPRINGFIELD, MO"
29510,Saint Louis City,MO,609,SAINT LOUIS
30001,Beaverhead,MT,754,BUTTE-BOZEMAN
30003,Big Horn,MT,756,BILLINGS
30005,Blaine,MT,755,GREAT FALLS
30007,Broadwater,MT,766,HELENA
30009,Carbon,MT,756,BILLINGS
30011,Carter,MT,764,RAPID CITY
30013,Cascade,MT,755,GREAT FALLS
30015,Chouteau,MT,755,GREAT FALLS
30017,Custer,MT,756,BILLINGS
30019,Daniels,MT,687,MINOT-BISMARCK-DICKINSON
30021,Dawson,MT,798,GLENDIVE
30023,Deer Lodge,MT,754,BUTTE-BOZEMAN
30025,Fallon,MT,687,MINOT-BISMARCK-DICKINSON
30027,Fergus,MT,755,GREAT FALLS
30029,Flathead,MT,762,MISSOULA
30031,Gallatin,MT,754,BUTTE-BOZEMAN
30033,Garfield,MT,756,BILLINGS
30035,Glacier,MT,755,GREAT FALLS
30037,Golden Valley,MT,756,BILLINGS
30039,Granite,MT,762,MISSOULA
30041,Hill,MT,755,GREAT FALLS
30043,Jefferson,MT,754,BUTTE-BOZEMAN
30045,Judith Basin,MT,755,GREAT FALLS
30047,Lake,MT,762,MISSOULA
30049,Lewis and Clark,MT,766,HELENA
30051,Liberty,MT,755,GREAT FALLS
30053,Lincoln,MT,881,SPOKANE
30055,McCone,MT,687,MINOT-BISMARCK-DICKINSON
30057,Madison,MT,754,BUTTE-BOZEMAN
30059,Meagher,MT,756,BILLINGS
30061,Mineral,MT,762,MISSOULA
30063,Missoula,MT,762,MISSOULA
30065,Musselshell,MT,756,BILLINGS
30067,Park,MT,756,BILLINGS
30069,Petroleum,MT,756,BILLINGS
30071,Phillips,MT,755,GREAT FALLS
30073,Pondera,MT,755,GREAT FALLS
30075,Powder River,MT,756,BILLINGS
30077,Powell,MT,754,BUTTE-BOZEMAN
30079,Prairie,MT,798,GLENDIVE
30081,Ravalli,MT,762,MISSOULA
30083,Richland,MT,687,MINOT-BISMARCK-DICKINSON
30085,Roosevelt,MT,687,MINOT-BISMARCK-DICKINSON
30087,Rosebud,MT,756,BILLINGS
30089,Sanders,MT,762,MISSOULA
30091,Sheridan,MT,687,MINOT-BISMARCK-DICKINSON
30093,Silver Bow,MT,754,BUTTE-BOZEMAN
30095,Stillwater,MT,756,BILLINGS
30097,Sweet Grass,MT,756,BILLINGS
30099,Teton,MT,755,GREAT FALLS
30101,Toole,MT,755,GREAT FALLS
30103,Treasure,MT,756,BILLINGS
30105,Valley,MT,755,GREAT FALLS
30107,Wheatland,MT,756,BILLINGS
30109,Wibaux,MT,687,MINOT-BISMARCK-DICKINSON
30111,Yellowstone,MT,756,BILLINGS
31001,Adams,NE,722,LINCOLN-HASTINGS-KEARNEY PLUS
31003,Antelope,NE,722,LINCOLN-HASTINGS-KEARNEY PLUS
31005,Arthur,NE,751,DENVER
31007,Banner,NE,751,DENVER
31009,Blaine,NE,722,LINCOLN-HASTINGS-KEARNEY PLUS
31011,Boone,NE,722,LINCOLN-HASTINGS-KEARNEY PLUS
31013,Box Butte,NE,751,DENVER
31015,Boyd,NE,722,LINCOLN-HASTINGS-KEARNEY PLUS
31017,Brown,NE,722,LINCOLN-HASTINGS-KEARNEY PLUS
31019,Buffalo,NE,722,LINCOLN-HASTINGS-KEARNEY PLUS
31021,Burt,NE,652,OMAHA
31023,Butler,NE,722,LINCOLN-HASTINGS-KEARNEY PLUS
31025,Cass,NE,652,OMAHA
31027,Cedar,NE,624,SIOUX CITY
31029,Chase,NE,722,LINCOLN-HASTINGS-KEARNEY PLUS
31031,Cherry,NE,751,DENVER
31033,Cheyenne,NE,751,DENVER
31035,Clay,NE,722,LINCOLN-HASTINGS-KEARNEY PLUS
31037,Colfax,NE,652,OMAHA
31039,Cuming,NE,652,OMAHA
31041,Custer,NE,722,LINCOLN-HASTINGS-KEARNEY PLUS
31043,Dakota,NE,624,SIOUX CITY
31045,Dawes,NE,751,DENVER
31047,Dawson,NE,722,LINCOLN-HASTINGS-KEARNEY PLUS
31049,Deuel,NE,751,DENVER
31051,Dixon,NE,624,SIOUX CITY
31053,Dodge,NE,652,OMAHA
31055,Douglas,NE,652,OMAHA
31057,Dundy,NE,678,WICHITA-HUTCHINSON PLUS
31059,Fillmore,NE,722,LINCOLN-HASTINGS-KEARNEY PLUS
31061,Franklin,NE,722,LINCOLN-HASTINGS-KEARNEY PLUS
31063,Frontier,NE,722,LINCOLN-HASTINGS-KEARNEY PLUS
31065,Furnas,NE,722,LINCOLN-HASTINGS-KEARNEY PLUS
31067,Gage,NE,722,LINCOLN-HASTINGS-KEARNEY PLUS
31069,Garden,NE,751,DENVER
31071,Garfield,NE,722,LINCOLN-HASTINGS-KEARNEY PLUS
31073,Gosper,NE,722,LINCOLN-HASTINGS-KEARNEY PLUS
31075,Grant,NE,751,DENVER
31077,Greeley,NE,722,LINCOLN-HASTINGS-KEARNEY PLUS
31079,Hall,NE,722,LINCOLN-HASTINGS-KEARNEY PLUS
